Method,"X(mean 100, var 10)","Y(mean 110, var 15)","X(mean = 1, var =2)","Y (mean = 3, var = 1.4)","X(mean = 0.54, var = 0.019)","Y(mean = 0.7, var = 0.016)"
Difference Sampling,103.9441379,113.007736,0.81,2.71,0.548964902,0.719002738
Difference Sampling,102.8534755,114.7218714,-0.21,2.54,0.230317803,0.379136863
Difference Sampling,95.37786832,104.8293149,0.56,2.06,0.592286095,0.748099556
Difference Sampling,101.5574469,109.4330437,-0.01,3.40,0.592397511,0.738333283
Difference Sampling,97.09120877,106.7202257,-0.76,1.92,0.504994578,0.624545565
Difference Sampling,101.0544852,112.7912107,1.22,3.89,0.450954324,0.670965963
Difference Sampling,100.5627161,108.8453487,3.06,4.81,0.354542129,0.462011555
Difference Sampling,100.8400899,110.0178782,-2.00,-0.25,0.515978014,0.787353964
Difference Sampling,95.66020124,108.4880522,-0.12,3.09,0.827671999,0.935556333
Difference Sampling,96.12917845,105.8314107,2.21,4.18,0.667912585,0.763841182
Difference Sampling,96.51592469,105.0832012,2.08,3.95,0.665251223,0.802926497
Difference Sampling,101.5277514,111.3550176,1.12,3.46,0.675962493,0.853189234
Difference Sampling,98.12889583,110.9260475,3.34,4.51,0.341438838,0.60324984
Difference Sampling,100.339662,111.2894666,2.81,3.77,0.347572825,0.461462425
Difference Sampling,99.5016094,108.3923907,-0.13,1.21,0.426267588,0.646284144
Difference Sampling,106.241864,116.5878117,-0.26,2.48,0.647588737,0.848666039
Difference Sampling,97.03856733,105.0608172,2.27,5.89,0.252057712,0.446692494
Difference Sampling,98.33851066,110.1419469,-0.09,2.13,0.623730199,0.836200575
Difference Sampling,102.5838995,112.11038,-2.30,1.29,0.539241492,0.677765177
Difference Sampling,99.68273692,110.9815942,-1.53,-0.46,0.379580085,0.551865352
Difference Sampling,96.16670111,103.4147588,2.21,3.08,0.465328002,0.598870271
Difference Sampling,102.5682253,113.2152805,0.63,2.81,0.437995477,0.604625737
Difference Sampling,101.6691318,112.1047239,0.38,1.49,0.526578236,0.769672303
Difference Sampling,100.908492,113.4735573,1.03,2.41,0.532105512,0.770935945
Difference Sampling,99.45890724,105.9627878,0.48,2.67,0.362374901,0.488495136
Difference Sampling,98.26312595,106.2340609,0.00,3.19,0.52738476,0.693238407
Difference Sampling,99.15132784,110.8202512,-0.67,1.90,0.261136646,0.370177617
Difference Sampling,98.1566297,110.665179,2.09,4.60,0.497931506,0.738923694
Difference Sampling,97.84839719,107.385117,-0.78,1.80,0.586962364,0.752914011
Difference Sampling,104.0586509,117.8380577,0.89,3.11,0.512613991,0.660459952
Difference Sampling,97.07882928,103.9034014,2.37,5.34,0.469346566,0.616830029
Difference Sampling,101.5012363,110.7122026,3.53,5.14,0.623240532,0.738842494
Difference Sampling,99.32568149,108.2215375,0.19,3.55,0.487667488,0.653287828
Difference Sampling,96.33485337,105.636833,1.32,2.61,0.425913111,0.580782523
Difference Sampling,96.74060138,103.8349259,1.15,3.09,0.594990523,0.797917987
Difference Sampling,100.085443,112.8264302,1.88,3.64,0.460403343,0.607121255
Difference Sampling,99.13963455,109.0659895,1.48,3.62,0.316735232,0.527816448
Difference Sampling,95.57707631,105.886957,0.51,2.77,0.352597507,0.542569995
Difference Sampling,103.5558697,113.479013,-0.44,2.42,0.4955444,0.631979673
Difference Sampling,94.61566257,102.6624811,2.59,3.87,0.833757412,0.881389241
Difference Sampling,102.0223882,111.557187,-0.84,2.52,0.757245634,0.867580997
Difference Sampling,97.34692616,105.7953816,2.02,3.24,0.713035637,0.822213187
Difference Sampling,96.7641257,105.9236589,-0.40,1.08,0.548829105,0.689759777
